hotel_id,hotel_name,country,city,star_rating,hotel_type,chain_affiliation,rooms,employees,year_opened,last_renovation,occupancy_rate,adr,revpar,annual_revenue,profit_margin,customer_satisfaction,online_rating,n_reviews,country_std,star_clean,revenue_missing,revenue_was_missing,margin_was_missing,is_large_hotel,is_small_hotel,log_rooms,log_employees,log_annual_revenue,hotel_age,years_since_renovation,revenue_per_room,employees_per_room,size_category
HTL_0612,Hotel_Hamburg_612,germany,Hamburg,3,Resort,,207,175.0,1929.0,2015.0,0.802,162.72,130.44,9855.3,0.061,8.7,4.1,1205,Germany,3,False,0,0,0,0,5.332718793265369,5.1647859739235145,9.195764660523794,95.0,9.0,47.610144927536226,0.8454106280193237,Very Large
HTL_0175,Hotel_Frankfurt_175,Deutschland,Frankfurt,5,Chain - National,Marriott,123,150.0,1996.0,2003.0,0.834,269.83,224.9,10097.0,-0.041,7.8,4.0,504,Germany,5,False,0,0,0,0,4.812184355372417,5.0106352940962555,9.219993629004321,28.0,21.0,82.08943089430895,1.2195121951219512,Large
HTL_0068,Hotel_Madrid_68,Spain,Madrid,5,Chain - National,NH Hotels,93,127.0,1985.0,2008.0,0.879,224.35,197.24,6695.5,-0.017,8.7,3.5,427,Spain,5,False,0,0,0,0,4.532599493153256,4.844187086458591,8.809190937935622,39.0,16.0,71.99462365591398,1.3655913978494623,Large
HTL_0169,Hotel_Vienna_169,Austria,Vienna,2,Independent,,127,122.0,1993.0,2010.0,0.731,163.21,119.35,,0.238,5.8,3.1,860,Austria,2,True,1,0,0,0,4.844187086458591,4.804021044733257,,31.0,14.0,,0.9606299212598425,Large
HTL_0276,Hotel_Frankfurt_276,germany,Frankfurt,4,Chain - International,NH Hotels,124,119.0,1998.0,2020.0,0.843,243.08,204.94,9275.8,0.181,9.2,3.8,372,Germany,4,False,0,0,0,0,4.820281565605037,4.77912349311153,9.135164137125301,26.0,4.0,74.80483870967741,0.9596774193548387,Large
HTL_0337,Hotel_Salzburg_337,AUSTRIA,Salzburg,four,Resort,,225,253.0,1865.0,,0.778,135.09,105.12,8633.2,0.048,7.6,3.5,1717,Austria,4,False,0,0,0,0,5.41610040220442,5.53338948872752,9.063370514884815,159.0,,38.369777777777784,1.1244444444444444,Very Large
HTL_D0515,Hotel_Porto_515,Portugal,Porto,4*,Chain - National,Local Chain,91,90.0,2012.0,,0.739,164.84,121.83,4046.5,0.079,7.5,3.7,394,Portugal,4,False,0,0,0,0,4.51085950651685,4.499809670330265,8.305607588935757,12.0,,44.467032967032964,0.989010989010989,Large
HTL_0087,Hotel_Venice_87,Italy,Venice,4,Boutique,Hilton,49,42.0,2018.0,,0.771,197.14,151.91,2717.0,0.003,7.8,3.9,351,Italy,4,False,0,0,0,0,3.8918202981106265,3.7376696182833684,7.907283609426348,6.0,,55.44897959183673,0.8571428571428571,Medium
HTL_0542,Hotel_Valencia_542,ES,Valencia,3*,Boutique,,90,84.0,1974.0,2007.0,0.858,103.82,89.1,2926.8,0.001,7.0,3.4,388,Spain,3,False,0,0,0,0,4.499809670330265,4.430816798843313,7.981664955009875,50.0,17.0,32.52,0.9333333333333333,Large
HTL_0717,Hotel_Naples_717,IT,Naples,3,Chain - International,Local Chain,96,81.0,2006.0,2013.0,0.711,150.64,107.17,3755.2,0.056,6.9,3.4,618,Italy,3,False,0,0,0,0,4.564348191467836,4.394449154672439,8.230896825096758,18.0,11.0,39.11666666666667,0.84375,Large
