hotel_id,hotel_name,country,city,star_rating,hotel_type,chain_affiliation,rooms,employees,year_opened,last_renovation,occupancy_rate,adr,revpar,annual_revenue,profit_margin,customer_satisfaction,online_rating,n_reviews
HTL_0612,Hotel_Hamburg_612,germany,Hamburg,3,Resort,,207,175,1929,2015.0,0.802,162.72,130.44,9855.3,0.061,8.7,4.1,1205
HTL_0175,Hotel_Frankfurt_175,Deutschland,Frankfurt,5,Chain - National,Marriott,123,150,1996,2003.0,0.834,269.83,224.9,10097.0,-0.041,7.8,4.0,504
HTL_0068,Hotel_Madrid_68,Spain,Madrid,5,Chain - National,NH Hotels,93,127,1985,2008.0,0.879,224.35,197.24,6695.5,-0.017,8.7,3.5,427
HTL_0169,Hotel_Vienna_169,Austria,Vienna,2,Independent,,127,122,1993,2010.0,0.731,163.21,119.35,,0.238,5.8,3.1,860
HTL_0276,Hotel_Frankfurt_276,germany,Frankfurt,4,Chain - International,NH Hotels,124,119,1998,2020.0,0.843,243.08,204.94,9275.8,0.181,9.2,3.8,372
HTL_0337,Hotel_Salzburg_337,AUSTRIA,Salzburg,four,Resort,,225,253,1865,,0.778,135.09,105.12,8633.2,0.048,7.6,3.5,1717
HTL_D0515,Hotel_Porto_515,Portugal,Porto,4*,Chain - National,Local Chain,91,90,2012,,0.739,164.84,121.83,4046.5,0.079,7.5,3.7,394
HTL_0087,Hotel_Venice_87,Italy,Venice,4,Boutique,Hilton,49,42,2018,,0.771,197.14,151.91,2717.0,0.003,7.8,3.9,351
HTL_0542,Hotel_Valencia_542,ES,Valencia,3*,Boutique,,90,84,1974,2007.0,0.858,103.82,89.1,2926.8,0.001,7.0,3.4,388
HTL_0717,Hotel_Naples_717,IT,Naples,3,Chain - International,Local Chain,96,81,2006,2013.0,0.711,150.64,107.17,3755.2,0.056,6.9,3.4,618
HTL_0437,Hotel_Florence_437,Italy,Florence,3,Boutique,,119,85,1995,2007.0,0.796,143.25,114.06,4954.4,,7.1,3.6,790
HTL_0266,Hotel_Faro_266,Portugal,Faro,4,Resort,,228,282,1926,2015.0,0.8,116.93,93.5,7781.0,0.081,9.1,4.6,490
HTL_0413,Hotel_Venice_413,Italy,Venice,3,Chain - International,NH Hotels,92,89,2001,2012.0,0.826,175.98,145.43,4883.4,0.055,8.3,4.0,507
HTL_0031,Hotel_Madrid_31,spain,Madrid,4,Boutique,,83,90,1970,2023.0,0.98,213.08,208.82,6326.2,0.104,6.5,3.1,582
HTL_0381,Hotel_Hamburg_381,germany,Hamburg,3,Chain - International,Marriott,82,65,2009,2023.0,0.649,243.47,157.91,4726.2,0.131,6.9,3.2,359
HTL_0670,Hotel_Paris_670,FR,Paris,3,Chain - International,Local Chain,73,60,1985,2016.0,0.594,128.51,76.27,2032.3,0.048,6.8,3.3,222
HTL_0040,Hotel_Rome_40,IT,Rome,3,Boutique,,64,58,1861,2009.0,0.83,178.39,148.11,3459.8,0.028,6.9,4.1,150
HTL_0214,Hotel_Rome_214,Italy,Rome,4,Independent,,134,136,1969,2009.0,0.751,196.03,147.19,,-0.034,8.0,4.0,631
