date,year,month,channel,revenue
2020-01-01,2020,1,Online Ads,40975.09
2020-02-01,2020,2,Online Ads,39823.36
2020-03-01,2020,3,Online Ads,48883.98
2020-04-01,2020,4,Online Ads,50970.27
2020-05-01,2020,5,Online Ads,39693.34
2020-06-01,2020,6,Online Ads,40479.17
2020-07-01,2020,7,Online Ads,42874.73
2020-08-01,2020,8,Online Ads,38631.18
2020-09-01,2020,9,Online Ads,37584.76
2020-10-01,2020,10,Online Ads,34579.22
2020-11-01,2020,11,Online Ads,41040.74
2020-12-01,2020,12,Online Ads,43698.79
2021-01-01,2021,1,Online Ads,45118.44
2021-02-01,2021,2,Online Ads,53075.1
2021-03-01,2021,3,Online Ads,53561.89
2021-04-01,2021,4,Online Ads,49372.38
2021-05-01,2021,5,Online Ads,54100.33
2021-06-01,2021,6,Online Ads,46565.08
2021-07-01,2021,7,Online Ads,50647.64
2021-08-01,2021,8,Online Ads,43972.82
2021-09-01,2021,9,Online Ads,41263.19
2021-10-01,2021,10,Online Ads,39013.35
2021-11-01,2021,11,Online Ads,46755.96
2021-12-01,2021,12,Online Ads,45089.84
2022-01-01,2022,1,Online Ads,48057.53
2022-02-01,2022,2,Online Ads,52412.9
2022-03-01,2022,3,Online Ads,59579.88
2022-04-01,2022,4,Online Ads,60344.6
2022-05-01,2022,5,Online Ads,59982.81
2022-06-01,2022,6,Online Ads,57600.45
2022-07-01,2022,7,Online Ads,61147.49
2022-08-01,2022,8,Online Ads,47082.17
2022-09-01,2022,9,Online Ads,44239.47
2022-10-01,2022,10,Online Ads,42453.88
2022-11-01,2022,11,Online Ads,49145.81
2022-12-01,2022,12,Online Ads,54700.69
2023-01-01,2023,1,Online Ads,54145.94
2023-02-01,2023,2,Online Ads,55202.05
2023-03-01,2023,3,Online Ads,58528.71
2023-04-01,2023,4,Online Ads,67587.81
2023-05-01,2023,5,Online Ads,67361.58
2023-06-01,2023,6,Online Ads,63576.31
2023-07-01,2023,7,Online Ads,54045.51
2023-08-01,2023,8,Online Ads,54167.36
2023-09-01,2023,9,Online Ads,50847.36
2023-10-01,2023,10,Online Ads,50426.37
2023-11-01,2023,11,Online Ads,54646.32
2023-12-01,2023,12,Online Ads,55662.93
2024-01-01,2024,1,Online Ads,62758.43
2024-02-01,2024,2,Online Ads,64775.43
2024-03-01,2024,3,Online Ads,69754.16
2024-04-01,2024,4,Online Ads,73385.65
2024-05-01,2024,5,Online Ads,61041.74
2024-06-01,2024,6,Online Ads,64483.9
2024-07-01,2024,7,Online Ads,59634.33
2024-08-01,2024,8,Online Ads,54746.11
2024-09-01,2024,9,Online Ads,53421.99
2024-10-01,2024,10,Online Ads,60131.76
2024-11-01,2024,11,Online Ads,51499.55
2024-12-01,2024,12,Online Ads,63785.77
2020-01-01,2020,1,Retail Stores,114228.9
2020-02-01,2020,2,Retail Stores,141963.18
2020-03-01,2020,3,Retail Stores,158329.77
2020-04-01,2020,4,Retail Stores,168128.24
2020-05-01,2020,5,Retail Stores,166700.83
2020-06-01,2020,6,Retail Stores,157984.45
2020-07-01,2020,7,Retail Stores,131876.35
2020-08-01,2020,8,Retail Stores,118107.69
2020-09-01,2020,9,Retail Stores,120940.77
2020-10-01,2020,10,Retail Stores,108309.85
2020-11-01,2020,11,Retail Stores,102528.97
2020-12-01,2020,12,Retail Stores,113522.25
2021-01-01,2021,1,Retail Stores,129074.04
2021-02-01,2021,2,Retail Stores,160047.48
2021-03-01,2021,3,Retail Stores,166763.74
2021-04-01,2021,4,Retail Stores,178739.57
2021-05-01,2021,5,Retail Stores,160631.99
2021-06-01,2021,6,Retail Stores,158596.48
2021-07-01,2021,7,Retail Stores,150138.96
2021-08-01,2021,8,Retail Stores,126035.65
2021-09-01,2021,9,Retail Stores,123583.41
2021-10-01,2021,10,Retail Stores,109716.07
2021-11-01,2021,11,Retail Stores,116743.44
2021-12-01,2021,12,Retail Stores,127416.75
2022-01-01,2022,1,Retail Stores,132615.04
2022-02-01,2022,2,Retail Stores,168290.03
2022-03-01,2022,3,Retail Stores,166960.9
2022-04-01,2022,4,Retail Stores,178347.58
2022-05-01,2022,5,Retail Stores,181633.86
2022-06-01,2022,6,Retail Stores,170546.63
2022-07-01,2022,7,Retail Stores,158305.95
2022-08-01,2022,8,Retail Stores,134753.6
2022-09-01,2022,9,Retail Stores,121037.97
2022-10-01,2022,10,Retail Stores,120932.28
2022-11-01,2022,11,Retail Stores,109242.02
2022-12-01,2022,12,Retail Stores,122041.86
2023-01-01,2023,1,Retail Stores,137674.03
2023-02-01,2023,2,Retail Stores,156468.64
2023-03-01,2023,3,Retail Stores,187888.33
2023-04-01,2023,4,Retail Stores,173413.16
2023-05-01,2023,5,Retail Stores,177945.89
2023-06-01,2023,6,Retail Stores,190670.72
2023-07-01,2023,7,Retail Stores,153134.57
2023-08-01,2023,8,Retail Stores,150816.14
2023-09-01,2023,9,Retail Stores,121524.99
2023-10-01,2023,10,Retail Stores,125469.55
2023-11-01,2023,11,Retail Stores,122284.92
2023-12-01,2023,12,Retail Stores,140687.96
2024-01-01,2024,1,Retail Stores,172130.67
