startup_id,subsector,pais,modelo_negocio,etapa,anio_fundacion,empleados,financiacion_total,valoracion,ratio_valoracion_financiacion,ingresos,crecimiento_anual,burn_rate,runway_meses,ingresos_por_empleado,usuarios,tasa_retencion,cac,ltv,ltv_cac_ratio,marketing_pct,cuota_mercado,id_pct,patentes,tech_score,num_integraciones,paises_operacion,compliance_score,incidentes_seguridad,rating_riesgo,prob_exito
106,Gestión Patrimonial,España,B2B,Seed,2016,44,43.94433856364006,145.1993267412344,3.304164574714378,0.6581886524325923,142.64376602548913,266,19,14.958833009831643,24923,87.49972546971301,183.65358370968795,359.78846851351767,1.9590604291297495,0,0.1,23.08966096561428,3,55.34752354222273,3,1,56.398137005102804,0,Medio,57.96706633642316
294,PRÉSTAMOS P2P,Alemania,B2B,Serie B,2018,22,0.7592338419516236,4.050152012258653,5.3345251337159425,23.90907829879834,6.640760522792974,704,5.5,1086.7762863090154,89922,73.94995718246943,119.96451928172482,592.5928340198282,4.939734161132947,25.81556849101761,1.6391279930065303,14.322729913318174,1,59.39721396862948,12,6,51.54732703991358,0,Bajo,64.26493547391146
322,Open Banking,Alemania,B2C,Serie A,2020,13,6.226557098916288,42.99905573021689,6.9057514525484285,0.5700667140568577,62.31042278463629,357,11.1,43.85128569668136,483821,94.09247795076885,96.3222842140334,NA,NA,20.783756589631494,0.6510350136890068,16.94867659659614,1,78.27120047296137,6,1,100,2,Alto,35.023208069615066
44,Gestión Patrimonial,Estonia,B2C,Serie B,2018,7,1.4152802507405986,12.678390658426606,8.958219159627333,4.573657003780296,140.56236978161263,291,13,653.3795719686137,9555,48.602261645453986,10,44.269202632131055,4.4269202632131055,20.896312763347822,4.77010734684338,21.259037406836537,0,90.87844148830831,17,8,34.26591769787105,0,Medio,57.77879268862307
122,insurtech,España,B2B2C,Serie A,2021,6,11.767244572514649,89.22972162068749,7.58289003605023,2.5431530442978665,18.074538849529247,307,25.1,423.8588407163111,20302,75.64773739988885,73.240214043039785,170.15326713907936,2.323221871512942,20.271247464149397,4.399627892011097,18.33957835542774,1,74.90420704359109,7,2,74.79134545922028,2,Bajo,68.13071846961975
53,pagos digitales,Reino Unido,Marketplace,Seed,2014,100,14.373312407914895,79.24882339067283,5.513608912238851,52.714253164511184,NA,0,30.7,527.1425316451118,9918,43.17387870136797,110.74046279751434,243.8591308868489,2.202077946276404,19.605676519611702,5.495893401032458,9.731843804302459,0,36.517637527213985,10,1,55.76432684359354,0,Alto,40.15614149160683
207,prestamos p2p,Suecia,B2B2C,Serie B,2015,207,9.678391897475148,49.95517543580216,5.1615160829387605,0.4213550043236582,33.684046683860714,321,8.2,2.0355314218534213,37044,68.16574301276124,105.28337082489868,169.32893686363133,1.6083160667913035,23.452492725636173,0.1,11.214954303093498,3,51.18094700348225,13,17,45.92546587839496,1,Muy Alto,22.03736725728959
244,criptomonedas,Reino Unido,B2B,Seed,2020,95,39.52415424994913,129.40404031286008,3.2740495721809566,2.9968608774902257,61.63515944740642,257,12.4,31.54590397358132,2468,67.65174774394704,98.60952840720627,174.17118945195742,1.7662713965401053,39.90395089739481,1.2973738549307665,18.941988821702065,3,83.42013390315975,8,19,43.28507602678761,1,Bajo,56.44269118551165
262,PRÉSTAMOS P2P,Países Bajos,B2B,Seed,2017,48,24.743777019518536,158.4904066750028,6.405263293068856,1.629600180971033,42.10244113212843,176,16.7,33.950003770229856,21491,NA,25.766020921046064,68.20090309749276,2.646931914961897,35.73820602927089,0.44674373302869164,17.04624469645387,2,77.69995076398075,43,1,68.30500603787983,1,Muy Alto,20.193522055633366
350,Préstamos P2P,Alemania,B2B,Serie A,2017,89,15.960612911760412,172.33227493922652,10.797346937237307,7.037002199364874,NA,359,19.2,79.06744044230196,86025,86.60565656654629,124.9765293939782,452.12855838241984,3.617707745404914,37.251720172657244,1.4884723763397574,21.486469663994104,1,71.08204363146193,2,1,74.4922254043684,1,Alto,29.12159516941756
264,BLOCKCHAIN,España,B2B,Serie A,2014,13,791.9744593241938,4389.318932882988,5.54224808793515,0.7862389662984569,108.06522088017852,314,4.9,60.47992048449669,15572,70.15556489361052,69.36531783654763,NA,NA,44.393717207113795,0.1,16.544852393243453,4,78.01940120784045,10,14,62.65980532373242,0,Muy Alto,10.520297959446907
28,pagos digitales,Estonia,B2C,Serie A,2017,141,16.769784379899328,52.999804351779744,3.160434454679489,19.613833109794644,NA,423,12.2,139.1051993602457,13947,90.38158809817833,118.08669637253618,422.5105352188301,3.5779689685441554,45.41808451928669,0.6934519417022278,29.815409977244965,0,88.25276224036372,4,4,67.49765138072955,0,Alto,27.798310378566384
272,Préstamos P2P,Países Bajos,B2B,Serie A,2014,142,23.099595336276394,228.92807898843427,9.910480060614645,2.7282302940850203,27.362141021000618,342,26.4,19.212889394964932,56215,85.36079058944894,53.387986947890816,229.81160219505878,4.304556424263865,3.0286864924212438,1.6153452226994287,19.098314193758657,1,53.405747868764266,3,18,53.388142520340686,0,Bajo,74.28192507475615
159,BLOCKCHAIN,Alemania,B2B,Serie B,2014,23,127.91101205027928,1046.8936639266158,8.184546796604991,86.30727802440879,NA,290,15.2,3752.4903488873388,47825,84.40377713262387,35.677892613912675,187.4214927362738,5.253154797130264,20.650166905903852,NA,5.214110116014332,0,52.470851801060114,9,3,68.22598644655292,0,Medio,47.586566153913736
